id,roads_length
3681_0_0,28090.4209869058
3681_0_3,55631.1288710183
3681_3_0,39029.2195930659
3681_3_3,5436.09975452845
3684_0_1,22505.4717260737
3684_1_0,70265.233278698
3684_1_1,23103.337986626
3684_1_2,43831.3557059668
3684_1_3,84384.2107691921
3684_2,197828.549020787
3684_3,28578.682130374
3692_0_0,52122.456397312
3692_0_1,45274.1752738902
3692_0_2,52574.4100397769
3692_0_3,44437.2844094653
3692_1_0,77382.6385661541
3692_1_1_0,47477.7521467318
3692_1_1_1,63646.8392857464
3692_1_1_2,34070.4804542107
3692_1_1_3,29506.983002784
3692_1_2_0,31660.3834163102
3692_1_2_1,13020.7532742423
3692_1_2_3,31253.3223635834
3692_1_3,65776.6964447437
3692_2,178792.410114445
3692_3_0,43234.2688014284
3692_3_1,30844.6009524711
3692_3_2,38607.3576974073
3692_3_3,67267.8259408975
3693_0_0_0_0,9843.37902786773
3693_0_0_0_1,9087.27435698512
3693_0_0_0_2,24712.5507892525
3693_0_0_0_3,11565.4583360993
3693_0_0_1_0,18341.107048271
3693_0_0_1_1,10533.8057037942
3693_0_0_1_2_0,5707.31139667575
3693_0_0_1_2_1,4922.8947066107
3693_0_0_1_2_2,5389.14037517267
3693_0_0_1_2_3,8233.416173721
3693_0_0_1_3_0,4670.35015713396
3693_0_0_1_3_1,9960.22992185991
3693_0_0_1_3_2,8900.24570010228
3693_0_0_1_3_3,7123.89364053925
3693_0_0_2,82677.4935468204
3693_0_0_3_0,27638.3644565832
3693_0_0_3_1_0,3992.07314380766
3693_0_0_3_1_1,8153.73049811076
3693_0_0_3_1_2,7365.03019151813
3693_0_0_3_1_3,6822.55859863902
3693_0_0_3_2_0,8376.36420216634
3693_0_0_3_2_1,7766.10708414835
3693_0_0_3_2_2,8063.96727468308
3693_0_0_3_2_3,8366.4477089191
3693_0_0_3_3,21202.9660029644
3693_0_1,104581.559449237
3693_0_2_0,6242.87470389043
3693_0_2_1,15257.4225705961
3693_0_2_3,4541.31686510958
3693_0_3_0_0,24519.6808200991
3693_0_3_0_1_0,8668.5814368914
3693_0_3_0_1_1,5693.42101069029
3693_0_3_0_1_2,3721.53364454597
3693_0_3_0_1_3,5320.67837529812
3693_0_3_0_2,17133.4504257962
3693_0_3_0_3,23437.7489884455
3693_0_3_1,60807.2137239769
3693_0_3_2,28421.0435201018
3693_0_3_3,41037.0964454038
3693_1_0,4686.26196222962
3693_1_1,2387.70507113291
3693_1_2,1216.10907665707
3693_1_3,1588.69498193067
3693_2_0,18600.8158519735
3693_2_1,24250.6512312169
3693_2_3,28542.8890161839
3693_3_0_0,23022.7345544479
3693_3_0_1,684.238744776082
3693_3_0_2,1169.9697614589
3693_3_0_3,29443.710606693
3693_3_1_0,47255.0785184072
3693_3_1_1,32767.8661417259
3693_3_1_2_0,33825.5108708566
3693_3_1_2_1,3387.56658231861
3693_3_1_2_2,322.917813898829
3693_3_1_2_3,20344.7886203102
3693_3_1_3_0,257.137677336266
3693_3_1_3_1,52120.8787578656
3693_3_1_3_2,23933.2160342642
3693_3_1_3_3,6340.25916508382
3693_3_2_0,7134.39550148403
3693_3_2_1,42582.5612955194
3693_3_2_2,13076.7935151565
3693_3_2_3,9971.17652221739
3693_3_3_1,606.059424181389
3693_3_3_2,112.922414098345
3693_3_3_3,843.803173904361
3694,423806.494376748
3695_0_0,57241.3877367979
3695_0_1,81006.8133281685
3695_0_2,56728.3329451794
3695_0_3_0,22061.4849325348
3695_0_3_1,19097.5485282021
3695_0_3_2,43601.5222346239
3695_0_3_3,29799.1227244118
3695_1_0,54410.4445788665
3695_1_1,7003.52609926635
3695_1_2,958.943090787903
3695_1_3,40012.620048116
3695_2_0,40988.0166513552
3695_2_1,8913.89351137334
3695_2_2,40536.652781369
3695_2_3,46357.7855258569
3695_3_0_0,41794.965661597
3695_3_0_1,53997.1117606628
3695_3_0_2,45178.9864120373
3695_3_0_3,30318.0733814531
3695_3_1_0,44462.7751740506
3695_3_1_1,16402.1032694326
3695_3_1_2,24721.956654032
3695_3_1_3,98856.6733897098
3695_3_2,168971.391130935
3695_3_3,75710.3952747467
3696_0_0_0_0,10000.884589316
3696_0_0_0_1,20776.8806498662
3696_0_0_0_2,15328.7725946125
3696_0_0_0_3,10223.3463178601
3696_0_0_1_0,13722.0580726292
3696_0_0_1_1,14809.2112920274
3696_0_0_1_2,19000.1388788529
3696_0_0_1_3_0,6810.10323770586
3696_0_0_1_3_1,4651.05125916308
3696_0_0_1_3_2,6053.67398941926
3696_0_0_1_3_3,5807.98135336728
3696_0_0_2_0_0,7714.31818850106
3696_0_0_2_0_1,7894.56946437824
3696_0_0_2_0_2,11156.742008926
3696_0_0_2_0_3,8572.04062635833
3696_0_0_2_1,26212.5350015483
3696_0_0_2_2,20252.610972119
3696_0_0_2_3_0,8939.34225381613
3696_0_0_2_3_1,10655.0309193233
3696_0_0_2_3_2,5293.69319013335
3696_0_0_2_3_3,5897.43332715533
3696_0_0_3_0,9235.05624280932
3696_0_0_3_1,15989.6015672039
3696_0_0_3_2,21903.989529617
3696_0_0_3_3,12758.7559778029
3696_0_1_0,16933.3219246815
3696_0_1_1,20064.6046285827
3696_0_1_2,36259.3625688661
3696_0_1_3,45726.7603065152
3696_0_2_0,26417.7803430371
3696_0_2_1,21218.9957800222
3696_0_2_2,18940.8258004146
3696_0_2_3,28470.7502567883
3696_0_3_0,42868.8975689837
3696_0_3_1_0,15767.214785767
3696_0_3_1_1,14520.1273112962
3696_0_3_1_2,13614.1423443191
3696_0_3_1_3,7917.82181115668
3696_0_3_2,49028.5920616199
3696_0_3_3,22360.4735729658
3696_1_0_0,30285.7844046259
3696_1_0_1,29770.6730305726
3696_1_0_2,65178.7471156797
3696_1_0_3,33250.8383429734
3696_1_1_0,15923.7161357772
3696_1_1_1_0,3901.08675529778
3696_1_1_1_1,16153.0912673377
3696_1_1_1_2,14063.9756694521
3696_1_1_1_3,3749.61652207271
3696_1_1_2,56843.5453297876
3696_1_1_3,40758.4374509659
3696_1_2_0,29349.9766886699
3696_1_2_1,38471.5481486751
3696_1_2_2,24107.3561208136
3696_1_2_3,57234.380604446
3696_1_3_0,35803.8756016066
3696_1_3_1,37996.9229348325
3696_1_3_2,46862.6797820126
3696_1_3_3,39605.4553019123
3696_2_0_0,42623.2023454823
3696_2_0_1,28807.2783520273
3696_2_0_2,30052.1181253095
3696_2_0_3,26801.2777049207
3696_2_1_0,32593.1150841981
3696_2_1_1,20835.126882203
3696_2_1_2,32887.3912812223
3696_2_1_3,14989.8905221622
3696_2_2,29275.7942428388
3696_2_3,67423.5698987398
3696_3_0_0,36885.5495118819
3696_3_0_1,27625.036133303
3696_3_0_2,17861.2916102261
3696_3_0_3,16400.892060395
3696_3_1_0,30208.7563359011
3696_3_1_1,24783.4584270184
3696_3_1_2,17184.7268889405
3696_3_1_3,14738.7598846238
3696_3_2_0,27881.4925404709
3696_3_2_1,23577.4834030586
3696_3_2_2,14287.3579925482
3696_3_2_3,18466.1265148372
3696_3_3,58164.782549667
3701_3_0,67614.0096034803
3701_3_3,39015.2400738985
3702_0_0,47133.9265348758
3702_0_3,53201.6580050293
3702_3_0,83315.4591315801
3702_3_3,42991.8211173546
3703_0_0,118058.069856442
3703_0_1,75440.321095012
3703_0_2,88841.0842223665
3703_0_3,148993.710367467
3703_1_0,48811.5977085178
3703_1_1,32708.1167677495
3703_1_2,30764.0445996213
3703_1_3,56364.6839996783
3703_2,196015.640214478
3703_3_0,85556.2906254882
3703_3_1,107878.586040899
3703_3_2,63847.127948113
3703_3_3,9275.88122686404
3704_0_3,101637.287203885
3704_2_0_0,28824.5968728008
3704_2_0_1,27530.3326793838
3704_2_0_2,19203.6944917773
3704_2_0_3,12796.6416636331
3704_2_1,61138.2233764512
3704_2_2,57337.4886590274
3704_2_3,40907.6525007296
3704_3_0,74602.3062672046
3704_3_1,58686.8804294736
3704_3_2,65630.7463659727
3704_3_3,82476.6945590224
3705_0_2_2_2,23909.197541023
3705_0_2_2_3,20233.8084964558
3705_0_2_3,45075.5280066272
3705_0_3,129171.904250138
3705_1_2_2,63784.6661440435
3705_1_2_3_2,22555.3435199878
3705_1_2_3_3,22910.0267355409
3705_1_3_2_2_2,5956.18831478276
3705_1_3_2_2_3,7358.30470897176
3705_1_3_2_3_2,6043.80243564468
3705_1_3_2_3_3,8498.20150579191
3705_1_3_3_2_2_0,3438.28026947707
3705_1_3_3_2_2_1,1801.62147682192
3705_1_3_3_2_2_2,1770.63700283693
3705_1_3_3_2_2_3,2801.31297110356
3705_1_3_3_2_3,13574.9872171765
3705_1_3_3_3_0,4487.47425500704
3705_1_3_3_3_1,5210.44449040466
3705_1_3_3_3_2,14529.0511973782
3705_1_3_3_3_3,9150.61001003499
3705_2_0_0_0_0,7753.94961619563
3705_2_0_0_0_1,13585.1801575814
3705_2_0_0_0_2,7686.15085123862
3705_2_0_0_0_3,9055.56636303627
3705_2_0_0_1_0,11042.0719002033
3705_2_0_0_1_1,6045.38461378675
3705_2_0_0_1_2,6680.82321746144
3705_2_0_0_1_3,9693.72444436827
3705_2_0_0_2_0,8142.82729586726
3705_2_0_0_2_1,6010.6171052995
3705_2_0_0_2_2,6217.95212895622
3705_2_0_0_2_3,9868.88006200389
3705_2_0_0_3_0,7503.15986244197
3705_2_0_0_3_1,7622.56084104065
3705_2_0_0_3_2,9529.15871451792
3705_2_0_0_3_3,5072.85123152371
3705_2_0_1_0_0,8845.48588985751
3705_2_0_1_0_1,7024.19920197775
3705_2_0_1_0_2,6314.40599437465
3705_2_0_1_0_3,7207.02603619961
3705_2_0_1_1,20662.9869939031
3705_2_0_1_2,24789.1590632505
3705_2_0_1_3,23795.9382836635
3705_2_0_2_0,18956.7853513005
3705_2_0_2_1,16370.3860414637
3705_2_0_2_2,10920.0608752253
3705_2_0_2_3,17314.5007906887
3705_2_0_3_0,21087.6493072667
3705_2_0_3_1,34085.6558810392
3705_2_0_3_2,19259.5469716597
3705_2_0_3_3,22207.2598467218
3705_2_1_0,48193.0610515051
3705_2_1_1,32098.8203732147
3705_2_1_2,30201.5103331579
3705_2_1_3,60636.1257602263
3705_2_2_0,53657.2245319063
3705_2_2_1,31072.2911248964
3705_2_2_2,47361.6676918958
3705_2_2_3,25442.3656485269
3705_2_3_0_0,27691.6817994068
3705_2_3_0_1,20583.7245878106
3705_2_3_0_2,14900.6441578012
3705_2_3_0_3,17760.6784542673
3705_2_3_1_0,13505.2012776102
3705_2_3_1_1,10847.1116061217
3705_2_3_1_2,9963.26981563161
3705_2_3_1_3,14354.6259198511
3705_2_3_2,54761.4229746441
3705_2_3_3,51984.2989494896
3705_3_0_0,30547.53819186
3705_3_0_1,35832.098724397
3705_3_0_2,28473.0602197925
3705_3_0_3,31469.2892566293
3705_3_1_0_0,9153.35006169623
3705_3_1_0_1,17432.879826329
3705_3_1_0_2,22551.2545824762
3705_3_1_0_3,12519.9443298288
3705_3_1_1_0,26331.8999600409
3705_3_1_1_1_0,5454.00041173714
3705_3_1_1_1_1,6998.00421364509
3705_3_1_1_1_2,7458.57195924939
3705_3_1_1_1_3,8081.09560453516
3705_3_1_1_2,24544.9924765314
3705_3_1_1_3,21454.1646187111
3705_3_1_2_0,10565.6728658939
3705_3_1_2_1,22798.2677309736
3705_3_1_2_2,18835.6707386592
3705_3_1_2_3,20573.8095233714
3705_3_1_3,26689.4217737763
3705_3_2_0,25091.9706287214
3705_3_2_1,46010.3310906085
3705_3_2_2,68335.1195181281
3705_3_2_3,19915.4743242731
3705_3_3_0,24583.060045119
3705_3_3_1,26527.2538229085
3705_3_3_2,20026.6894102532
3705_3_3_3,19503.7732765631
3706_0_0_0,22243.3058386076
3706_0_0_1,23943.4670964244
3706_0_0_2,24361.5449400217
3706_0_0_3,30883.0694538712
3706_0_1_0,29553.4981792111
3706_0_1_1,29691.5281081892
3706_0_1_2,35687.4046470071
3706_0_1_3,21489.8838742398
3706_0_2_0,16750.0098115019
3706_0_2_1,36130.4311286544
3706_0_2_2,58681.4317590774
3706_0_2_3,39166.4500275754
3706_0_3_0,21057.7270250348
3706_0_3_1,14461.4607463575
3706_0_3_2,20360.5686891209
3706_0_3_3,32679.0447348269
3706_1_0_0,59662.7593633793
3706_1_0_1,40031.1886394219
3706_1_0_2,41904.6284504393
3706_1_0_3,41722.577536797
3706_1_1_0,31913.9365161292
3706_1_1_1,25715.2845795253
3706_1_1_2,32797.0116519519
3706_1_1_3,31384.034604427
3706_1_2,89826.5614821611
3706_1_3_0,26692.2569960712
3706_1_3_1,34172.2022452885
3706_1_3_2,28914.9568115724
3706_1_3_3,20934.634629077
3706_2_0,83607.0430335498
3706_2_1,91761.3995807884
3706_2_2,8881.27739675415
3706_2_3,68514.117796484
3706_3_0_0,47247.1170945356
3706_3_0_1,49039.3452744634
3706_3_0_2,40450.7376904808
3706_3_0_3,32869.9354275753
3706_3_1_0,34609.7272938113
3706_3_1_1,25472.7878049172
3706_3_1_2,58001.5716688145
3706_3_1_3,31234.7706269047
3706_3_2,154790.977679411
3706_3_3_0,48603.4793085148
3706_3_3_1,35733.4043666841
3706_3_3_2_0,10583.3237446581
3706_3_3_2_1,10550.2113811082
3706_3_3_2_2,7656.73694433858
3706_3_3_2_3,13997.6781968109
3706_3_3_3,26070.7379133552
3707_0_0,102163.975910895
3707_0_1,77235.7637172465
3707_0_2,80608.9013346277
3707_0_3,76531.2254540937
3707_1_0,87170.7361613893
3707_1_1,84903.2608848468
3707_1_2_0,29674.2272140461
3707_1_2_1,28021.9559751093
3707_1_2_2,24488.2014595479
3707_1_2_3,36636.74837223
3707_1_3_0,26398.0397516514
3707_1_3_1,21295.8176926704
3707_1_3_2,17464.3390671126
3707_1_3_3,13937.0053037704
3707_2_0_0,14095.5582782856
3707_2_0_1,40236.1070566052
3707_2_0_2,23805.8868032301
3707_2_0_3,18463.910593747
3707_2_1_0,20253.7371319612
3707_2_1_1,38699.6001546511
3707_2_1_2,18378.3984900574
3707_2_1_3,27633.4233435994
3707_2_2_0,35851.9033846194
3707_2_2_1,38312.4547252649
3707_2_2_2,37471.9076771775
3707_2_2_3,19461.9930275322
3707_2_3_0,33486.2733000021
3707_2_3_1,33437.4073285829
3707_2_3_2,35656.8073749032
3707_2_3_3,20792.3723894446
3707_3_0_0,30965.0372196935
3707_3_0_1,22322.0319790323
3707_3_0_2,26452.2046125416
3707_3_0_3,21603.8413386489
3707_3_1,82881.2568236958
3707_3_2_0,39242.1694037235
3707_3_2_1,22083.9927176579
3707_3_2_2,13475.2535258809
3707_3_2_3,19035.5243611442
3707_3_3_0,35189.2558233175
3707_3_3_1,26891.0118666304
3707_3_3_2,36118.412652893
3707_3_3_3,23926.4892022161
3708_0_2_2,16140.8250962087
3708_0_2_3,26717.0489053927
3708_0_3,117867.886373006
3708_1_2_2,25487.7818892751
3708_1_2_3,27037.9753628774
3708_1_3_2,21294.9371158001
3708_1_3_3,17132.3970468909
3708_2_0_0,18369.4746008087
3708_2_0_1,29578.8605361287
3708_2_0_2,50425.127551861
3708_2_0_3,25979.8317121835
3708_2_1_0,25951.7970024662
3708_2_1_1,26982.5634988285
3708_2_1_2,29725.0425542564
3708_2_1_3,45714.8397829159
3708_2_2,102938.250820732
3708_2_3,105277.153681014
3708_3_0_0,18096.2481967686
3708_3_0_1,42884.0378816666
3708_3_0_2_0,34156.8108945892
3708_3_0_2_1,12546.8997284923
3708_3_0_2_2,20263.0015038711
3708_3_0_2_3,31748.030566401
3708_3_0_3,37438.2301921958
3708_3_1_0,26989.0529229586
3708_3_1_1,13442.7076638216
3708_3_1_2,28601.4857951239
3708_3_1_3,31676.5708362787
3708_3_2_0,29116.1474856487
3708_3_2_1,31009.2036495439
3708_3_2_2,25107.8803885428
3708_3_2_3,29500.3285508582
3708_3_3_0,32180.1069256047
3708_3_3_1,36379.062337281
3708_3_3_2,25932.4004150766
3708_3_3_3,24263.3840098911
3717_1_2_2,21676.7572009742
3717_2_1_1,28928.0917576048
3717_2_1_2,29623.7520527937
3717_2_2,81028.9855106439
3718_1_1,76669.9444298827
3718_1_2,92438.0432866466
3718_2_1,92140.5991916344
3718_2_2,97513.3486909237
3729_1_1_1,31702.2176619563
3729_1_1_2_0,7799.21284998001
3729_1_1_2_1,10736.4193816997
3729_1_1_2_2,13607.2801430755
3729_1_1_2_3,12512.9877308233
3729_1_2_1,25677.9970259304
3729_1_2_2,27476.8526315918
3729_1_2_3,26263.5098546922
3729_2_1_0,16397.7361880804
3729_2_1_1,11467.6404899381
3729_2_1_2,17885.4128597771
3729_2_1_3,9687.6919061997
3729_2_2,55484.3659059512
3730_1_1,101497.751637744
3730_1_2,59300.4846771382
3730_2_1,62257.2467153631
3730_2_2,95309.1273895593
3733_1_1,88981.5592176959
3733_1_2,93355.2599301977
3733_2_1,36809.4020435776
3733_2_2,43776.8647603136
